ID,var_rpta_alt,Prob_uno
346132#687461#392881,0,0.4747621215454522
388987#335563#745022,1,0.9999709912197609
344484#772228#308114,1,1.0
569701#366624#713233,1,0.9953749941691858
528256#384543#695315,1,0.996648894270979
355480#296273#786829,0,0.3206160203298675
22446#814964#265378,0,0.43439253023035046
3440#626328#454014,0,0.08897603921136982
397191#619867#460475,1,1.0
624668#353192#726676,1,0.9724590251124023
298317#414803#665133,0,0.411562711077192
528061#1014248#66094,0,0.3147603503072307
466701#146650#941441,1,0.9999709912197609
212420#881644#198698,0,0.031968722679185796
11689#700006#380336,0,0.12666589996768196
318693#932112#148230,1,0.7392306996791878
370862#742324#338018,0,0.4747621215454522
13101#713724#366618,0,0.33728098757388086
84584#966708#113634,0,0.23098543581904926
112619#732368#347974,1,0.8904291589246356
33772#507479#572863,0,0.411562711077192
19439#798773#281569,0,0.13674005848449466
224157#754984#325358,0,0.33728098757388086
69812#780200#300142,0,0.08897603921136982
358881#840414#239928,0,0.33728098757388086
310836#527062#553280,0,0.08897603921136982
293780#677284#403058,0,0.3147603503072307
128926#662279#418063,0,0.4747621215454522
323218#573320#507022,0,0.43439253023035046
16871#734035#346307,0,0.2903088436100482
630667#1067534#12808,0,0.4747621215454522
404168#364182#715668,1,0.9999709912197609
297879#1024915#55427,0,0.2903088436100482
44165#253435#829566,0,0.0
192630#397941#681959,0,0.411562711077192
266615#240871#842148,1,0.9999709912197609
555326#160428#927676,1,0.9999709912197609
429481#308518#774604,0,0.003319160966799734
159361#846151#234191,1,1.0
213179#94730#993043,1,0.7373064273071657
60445#954126#126216,1,0.9620829395268976
389124#803920#276422,1,1.0
101880#894112#186230,1,0.6541158031974726
398638#650792#429550,0,0.3147603503072307
246225#462243#618092,0,0.25926814326060305
446688#224827#857984,0,0.053645040240858345
143347#533359#546983,0,0.43439253023035046
155843#870358#209984,1,0.6541158031974726
171521#267272#815735,0,0.08339025562139155
135709#244600#838397,1,1.0
55401#756197#324145,0,0.3147603503072307
169518#568355#511987,1,0.7611963728479355
94407#352311#727558,1,0.5357530344793169
152534#1008347#71995,0,0.2903088436100482
167107#590971#489371,0,0.43439253023035046
196246#725369#354973,1,0.8372750911718035
607561#240321#842698,0,0.047452410865773564
40282#464011#616331,0,0.30620018266999693
574408#766033#314309,0,0.4747621215454522
440922#65837#1039183,1,0.9724590251124023
605325#80852#1024397,0,0.0
87819#832171#248171,1,1.0
166602#866137#214205,0,0.031968722679185796
38126#992995#87347,0,0.4747621215454522
55275#749821#330521,1,0.9029857763017476
106687#298626#784479,0,0.4318999578250385
36701#640986#439356,0,0.43439253023035046
455812#787062#293280,0,0.12666589996768196
628427#719143#361199,0,0.05379115619386631
265795#11431#1075695,1,0.7520272847718318
168055#736192#344150,1,1.0
271913#628868#451474,0,0.23098543581904926
499771#70409#1034641,0,0.020138609236647967
462272#825838#254504,1,0.954902910610463
296324#668403#411939,0,0.13674005848449466
35759#81739#1023503,1,0.5357530344793169
576801#46037#1058792,1,0.9999709912197609
220869#126222#961610,0,0.22394456145568623
144219#196158#892099,0,0.0
117104#676447#403895,0,0.30620018266999693
278857#785030#295312,0,0.2094245198038444
353482#150912#937183,0,0.22394456145568623
594553#871490#208852,1,0.9999709912197609
184011#173481#914637,1,0.9724590251124023
187900#523345#556997,1,0.8122400210435272
53227#1037926#42416,1,0.7392306996791878
34688#458076#622265,0,0.008611835855949582
405953#217724#865047,0,0.22394456145568623
333812#370038#709814,1,0.9996968773893252
495123#356455#723410,0,0.04283430628634465
569623#278315#804724,1,0.9724590251124023
388110#567374#512968,1,0.9993352244619401
225759#753819#326523,1,0.7643988503576901
314548#25438#1004582,0,0.12396199841810741
160952#121820#965997,0,0.22394456145568623
489271#453611#626727,0,0.22394456145568623
425638#1076340#4002,0,0.4747621215454522
572276#472109#608233,0,0.02335207218003782
220170#744497#335845,0,0.4747621215454522
577591#810147#270195,1,1.0
296041#655476#424866,0,0.33728098757388086
175244#870705#209637,0,0.13674005848449466
271040#1010347#69995,0,0.33728098757388086
298175#556521#523821,1,0.9993352244619401
301591#843120#237222,0,0.3147603503072307
115315#787894#292448,1,0.9802949487850686
270350#717661#362681,1,0.7392306996791878
315283#1033735#46607,0,0.43439253023035046
228803#377058#702798,1,1.0
17476#636420#443922,0,0.031968722679185796
379328#502996#577346,0,0.08897603921136982
255679#619442#460900,0,0.08897603921136982
8165#307106#776015,1,0.8053828499878074
214845#498771#581571,0,0.2903088436100482
38133#867994#212348,0,0.031968722679185796
286656#665056#415286,1,0.9999709912197609
264008#976064#104278,1,0.9993352244619401
18779#202440#882794,1,0.8904291589246356
519279#409300#670626,1,1.0
243589#114462#973356,0,0.22394456145568623
284586#393222#686682,0,0.04088812503507524
574316#869398#210944,0,0.12666589996768196
513990#631023#449319,0,0.3147603503072307
418588#617190#463152,0,0.02335207218003782
162162#573305#507037,0,0.4747621215454522
525691#778785#301557,0,0.05379115619386631
21601#488642#591700,0,0.02335207218003782
268475#807997#272345,0,0.21735792876953922
347191#809670#270672,0,0.33728098757388086
179733#668761#411581,0,0.03506666981562688
582659#828180#252162,1,0.7611963728479355
129927#505952#574390,1,0.9993394982489838
215550#676624#403718,0,0.4747621215454522
517821#638599#441743,0,0.03506666981562688
240155#553259#527083,1,1.0
159583#586571#493771,0,0.4747621215454522
489327#748461#331881,0,0.4083161646959541
65084#413931#665992,1,0.9996968773893252
320690#951481#128861,1,1.0
177349#867844#212498,0,0.031968722679185796
185555#180871#907261,1,0.9029857763017476
239964#599285#481057,1,0.9029857763017476
140057#840720#239622,0,0.2854303707670137
48019#314831#768307,0,0.411562711077192
307305#30412#1014268,0,0.02594646275268437
132381#131937#955958,0,0.07730110571879828
112166#745672#334670,0,0.2903088436100482
65325#419968#660024,1,0.9029857763017476
145130#333431#747145,0,0.3607844652305567
557600#1006927#73415,0,0.12666589996768196
7541#451694#628668,1,0.9996968773893252
232643#301693#781421,1,0.7421941771643267
491149#758069#322273,0,0.12666589996768196
399110#115937#971881,1,0.8904291589246356
618369#342247#738414,1,0.9724590251124023
391308#606080#474262,0,0.43439253023035046
578606#344276#736401,0,0.0
45444#534658#545684,0,0.43439253023035046
316023#555422#524920,0,0.3147603503072307
223751#728574#351768,0,0.33728098757388086
17654#17360#1010318,1,0.8053828499878074
214685#1033738#46604,0,0.2094245198038444
201100#1020522#59820,0,0.2094245198038444
303829#704762#375580,0,0.33728098757388086
304648#728640#351702,1,0.9999709912197609
67087#842574#237768,1,0.9620829395268976
156664#115674#972144,0,0.020138609236647967
387010#845409#234933,0,0.3147603503072307
570789#87007#1018257,0,0.2854303707670137
307067#32872#877971,0,0.00663157524983146
529692#668727#411615,0,0.14166766184516633
151602#960184#120158,1,1.0
377295#848817#231525,1,0.9993394982489838
43685#340761#739885,0,0.0
470216#309568#773563,0,0.03780566093616078
527148#656290#424052,0,0.4747621215454522
67732#790841#289501,0,0.08897603921136982
604534#369070#710788,1,0.954902910610463
223818#180057#908066,1,0.9724590251124023
185028#450600#629773,1,1.0
418391#572505#507837,0,0.30620018266999693
499217#376279#703573,1,0.8904291589246356
371118#122514#965302,1,0.954902910610463
193480#1065534#14808,0,0.3147603503072307
22867#990989#89353,0,0.43439253023035046
412338#46539#1058291,0,0.411562711077192
301395#581271#499071,0,0.4747621215454522
67407#10718#1075133,0,0.3607844652305567
237673#683171#397171,0,0.2903088436100482
482272#416743#663251,0,0.22394456145568623
77198#13993#1080117,0,0.01728126324731956
367482#713469#366873,0,0.3147603503072307
507354#481810#598532,1,0.9993352244619401
553276#603911#476431,0,0.02335207218003782
196100#812504#267838,0,0.06734350286364933
80677#940917#139425,0,0.2094245198038444
244987#742771#337571,0,0.03506666981562688
221534#1062021#18321,0,0.4747621215454522
264074#48299#1056525,0,0.25926814326060305
471931#1069765#10577,1,0.9999709912197609
293385#468373#611969,0,0.02335207218003782
403307#956515#123827,0,0.3147603503072307
604738#131305#956546,0,0.22394456145568623
174687#597687#482655,0,0.43439253023035046
417367#1077665#2677,0,0.031968722679185796
395828#1051819#28523,1,0.6541158031974726
169790#861275#219067,0,0.3147603503072307
41216#561548#518794,1,1.0
285475#881337#199005,1,0.8871466812987802
405644#620184#460158,1,1.0
490253#898472#181870,0,0.13674005848449466
540448#112526#975288,0,0.0
242028#674170#406172,0,0.3147603503072307
73670#742344#337998,0,0.33728098757388086
188438#235561#847331,0,0.008611835855949582
457896#1016101#64241,0,0.05379115619386631
319155#120174#967649,1,1.0
405741#982618#97724,0,0.4083161646959541
327085#856992#223350,0,0.4747621215454522
95197#871533#208809,0,0.05379115619386631
449961#631165#449177,0,0.4747621215454522
510910#795358#284984,0,0.031968722679185796
112192#595754#484588,0,0.4747621215454522
128081#342134#738526,1,1.0
597249#656124#424218,1,0.954902910610463
264542#26947#752835,0,0.002686380741353082
130066#489625#590717,0,0.3147603503072307
596766#665483#414859,0,0.23098543581904926
142999#650334#430008,1,0.8752717902974312
355583#882733#197609,0,0.4747621215454522
182425#841091#239251,0,0.33728098757388086
467332#330503#750205,1,0.9999709912197609
171252#443852#636470,0,0.22394456145568623
555966#911115#169227,0,0.13674005848449466
306502#29665#728692,1,0.6186453052256977
306365#9919#1012070,0,0.02594646275268437
546396#374462#705389,1,0.998048945799398
60899#237281#845678,1,0.9782382793183042
76294#716868#363474,0,0.33728098757388086
19090#691198#389144,0,0.38373343014957556
266736#122582#965236,0,0.22394456145568623
242762#143367#944738,0,0.023733894550191318
517907#635874#444468,0,0.2903088436100482
329712#167552#920578,1,0.9999709912197609
446236#808435#271907,0,0.06734350286364933
305657#29745#1014177,0,0.023392103042993682
400264#724657#355685,0,0.3147603503072307
145084#601665#478677,0,0.03506666981562688
18077#540181#540161,1,0.9415193202319434
189767#971144#109198,0,0.031968722679185796
253400#595469#484873,0,0.17089422736417378
602161#787429#292913,0,0.13674005848449466
10074#642029#438313,0,0.4747621215454522
525833#1037317#43025,0,0.08897603921136982
616375#49025#1055803,0,0.411562711077192
457893#402561#677359,0,0.22394456145568623
493623#410809#669115,0,0.014655883517253226
103375#85117#1020144,0,0.3607844652305567
225498#1066200#14142,0,0.3147603503072307
481176#463878#616464,1,0.7373064273071657
195091#1039815#40527,0,0.3147603503072307
606831#113784#974031,0,0.22394456145568623
390430#163995#924124,0,0.22394456145568623
274839#615522#464820,0,0.12666589996768196
116541#262315#820670,0,0.10400354665945044
381433#304264#778842,1,0.9724590251124023
75894#983470#96872,1,0.5518606301020115
198601#160454#927650,0,0.014655883517253226
583201#1009972#70370,1,0.9999709912197609
325226#549439#530903,0,0.12666589996768196
61232#454001#626342,1,0.9724590251124023
567404#712454#367888,0,0.2903088436100482
314105#1002166#78176,0,0.2903088436100482
526517#922039#158303,0,0.4747621215454522
106726#491492#588850,0,0.33728098757388086
347618#59338#1045637,1,0.8099701705632273
456460#460652#619686,1,1.0
539799#501331#579011,1,0.9993394982489838
23726#559819#520523,0,0.4747621215454522
181778#1017682#62660,0,0.031968722679185796
100314#649571#430771,0,0.03634502254226607
628395#889267#191075,1,0.9999709912197609
269037#512877#567465,1,0.9993352244619401
373450#852021#228321,1,0.954902910610463
634593#799094#281248,0,0.3147603503072307
626210#293647#789432,0,0.023392103042993682
166405#37353#1067705,0,0.3607844652305567
347508#482031#598311,1,0.9752785920525963
77800#95197#992582,1,0.7161888727087709
173788#44598#1060224,1,0.5357530344793169
22826#804256#276086,1,0.9415193202319434
310764#565710#514632,0,0.1460280101242385
50707#539626#540716,0,0.33728098757388086
54733#23979#1080543,0,0.22394456145568623
386182#318441#764696,1,0.9999709912197609
563850#690905#389437,0,0.43439253023035046
126187#856555#223787,1,0.9029857763017476
537553#570959#509383,0,0.08897603921136982
12691#521540#558802,0,0.19972724053591528
135064#866840#213502,0,0.03506666981562688
526424#293231#789846,1,1.0
111519#593404#486938,0,0.4747621215454522
235543#312446#770698,1,1.0
459308#713892#366450,0,0.43439253023035046
106482#336079#744506,0,0.22394456145568623
287967#492676#587666,0,0.08897603921136982
259061#351475#729294,1,0.8099701705632273
372962#380216#699640,0,0.053645040240858345
257285#434486#645688,1,1.0
442112#1057098#23244,1,0.9988098553943502
247414#870515#209827,0,0.031968722679185796
169604#999034#81308,0,0.43439253023035046
341395#211725#871029,1,0.9999709912197609
119746#468177#612165,1,0.8548220154780142
253839#134264#953771,1,0.8904291589246356
147961#429997#650004,0,0.22394456145568623
375130#826680#253662,1,0.954902910610463
344751#123471#964353,1,0.9724590251124023
175209#479193#601149,0,0.03634502254226607
416156#957319#123023,0,0.30620018266999693
325733#279997#803047,1,0.6848396604435747
244542#953129#127213,1,1.0
242149#993263#87079,0,0.4747621215454522
124620#133203#954762,0,0.411562711077192
201447#1018169#62173,0,0.2903088436100482
1335#334046#746533,1,0.9724590251124023
420088#186169#901982,1,0.9996968773893252
353564#783303#297039,0,0.4747621215454522
66495#650963#429379,1,0.8904291589246356
379815#566842#513500,1,0.9996968773893252
20037#642285#438057,0,0.4747621215454522
538434#418067#661931,0,0.03780566093616078
295464#381047#698810,1,0.9724590251124023
515465#771577#308765,0,0.43439253023035046
531721#635233#445109,0,0.30620018266999693
49294#640188#440154,0,0.01685045332966568
410163#367400#712459,1,0.9620829395268976
100416#190617#897622,0,0.22394456145568623
